Entity,Day,"Covid cumulative excess deaths per 100,000 people (central estimate)"
Afghanistan,2024-06-17,422.1163
Albania,2024-06-17,550.91364
Algeria,2024-06-17,294.5267
Andorra,2024-06-17,223.76707
Angola,2024-06-17,149.25598
Antigua and Barbuda,2024-06-17,-136.39189
Argentina,2024-06-17,614.691
Armenia,2024-06-17,471.62216
Australia,2024-06-17,163.19267
Austria,2024-06-17,367.599
Azerbaijan,2024-06-17,321.8272
Bahamas,2024-06-17,410.38293
Bahrain,2024-06-17,258.8425
Bangladesh,2024-06-17,518.3162
Barbados,2024-06-17,342.35962
Belarus,2024-06-17,852.3417
Belgium,2024-06-17,321.26468
Belize,2024-06-17,194.02904
Benin,2024-06-17,177.60036
Bhutan,2024-06-17,-65.72443
Bolivia,2024-06-17,546.754
Bosnia and Herzegovina,2024-06-17,796.25183
Botswana,2024-06-17,190.75377
Brazil,2024-06-17,433.6395
Brunei,2024-06-17,160.94974
Bulgaria,2024-06-17,965.4326
Burkina Faso,2024-06-17,194.56854
Burundi,2024-06-17,224.19203
Cambodia,2024-06-17,498.48837
Cameroon,2024-06-17,218.1995
Canada,2024-06-17,224.95798
Cape Verde,2024-06-17,189.85352
Central African Republic,2024-06-17,174.99266
Chad,2024-06-17,222.954
Chile,2024-06-17,367.35086
China,2024-06-17,185.39146
Colombia,2024-06-17,407.60077
Comoros,2024-06-17,216.25865
Congo,2024-06-17,134.56165
Costa Rica,2024-06-17,202.09488
Cote d'Ivoire,2024-06-17,138.35547
Croatia,2024-06-17,695.4473
Cuba,2024-06-17,556.96185
Cyprus,2024-06-17,216.03195
Czechia,2024-06-17,441.88782
Democratic Republic of Congo,2024-06-17,331.7366
Denmark,2024-06-17,149.43564
Djibouti,2024-06-17,125.3141
Dominica,2024-06-17,130.10054
Dominican Republic,2024-06-17,49.27271
East Timor,2024-06-17,158.05852
Ecuador,2024-06-17,503.92206
Egypt,2024-06-17,339.14233
El Salvador,2024-06-17,363.80838
Equatorial Guinea,2024-06-17,103.57504
Eritrea,2024-06-17,231.28052
Estonia,2024-06-17,460.4492
Eswatini,2024-06-17,210.09813
Ethiopia,2024-06-17,369.59207
Fiji,2024-06-17,60.584023
Finland,2024-06-17,364.30722
France,2024-06-17,244.31956
French Guiana,2024-06-17,435.53238
Gabon,2024-06-17,123.209625
Gambia,2024-06-17,170.4197
Georgia,2024-06-17,662.0017
Germany,2024-06-17,353.98877
Ghana,2024-06-17,276.18936
Greece,2024-06-17,355.54016
Greenland,2024-06-17,-286.298
Grenada,2024-06-17,148.6619
Guatemala,2024-06-17,314.3301
Guinea,2024-06-17,168.51988
Guinea-Bissau,2024-06-17,187.38681
Guyana,2024-06-17,461.14227
Haiti,2024-06-17,194.42868
Honduras,2024-06-17,302.68857
Hungary,2024-06-17,490.2902
Iceland,2024-06-17,156.73393
India,2024-06-17,429.99173
Indonesia,2024-06-17,304.1948
Iran,2024-06-17,340.65387
Iraq,2024-06-17,326.1802
Ireland,2024-06-17,246.94342
Israel,2024-06-17,202.85051
Italy,2024-06-17,518.5999
Jamaica,2024-06-17,220.17044
Japan,2024-06-17,276.75882
Jordan,2024-06-17,130.49596
Kazakhstan,2024-06-17,415.39908
Kenya,2024-06-17,336.19705
Kiribati,2024-06-17,81.1967
Kosovo,2024-06-17,184.22781
Kuwait,2024-06-17,183.82353
Kyrgyzstan,2024-06-17,187.8143
Laos,2024-06-17,469.6596
Latvia,2024-06-17,604.1716
Lebanon,2024-06-17,273.54874
Lesotho,2024-06-17,238.55998
Liberia,2024-06-17,152.51996
Libya,2024-06-17,532.1955
Liechtenstein,2024-06-17,44.842323
Lithuania,2024-06-17,1096.093
Luxembourg,2024-06-17,-3.0646982
Madagascar,2024-06-17,213.6085
Malawi,2024-06-17,219.18622
Malaysia,2024-06-17,148.2891
Maldives,2024-06-17,153.99391
Mali,2024-06-17,209.23311
Malta,2024-06-17,201.49847
Marshall Islands,2024-06-17,156.90688
Mauritania,2024-06-17,156.27638
Mauritius,2024-06-17,200.36292
Mexico,2024-06-17,511.63535
Micronesia (country),2024-06-17,259.98605
Moldova,2024-06-17,569.37213
Monaco,2024-06-17,789.81024
Mongolia,2024-06-17,15.5377865
Montenegro,2024-06-17,561.22943
Morocco,2024-06-17,256.5638
Mozambique,2024-06-17,329.25607
Myanmar,2024-06-17,379.2174
Namibia,2024-06-17,148.80191
Nauru,2024-06-17,19.012691
Nepal,2024-06-17,482.6003
Netherlands,2024-06-17,386.91907
New Caledonia,2024-06-17,70.735
New Zealand,2024-06-17,19.17538
Nicaragua,2024-06-17,292.26663
Niger,2024-06-17,206.40219
Nigeria,2024-06-17,243.77348
North Macedonia,2024-06-17,826.3936
Norway,2024-06-17,221.66547
Oman,2024-06-17,69.742676
Pakistan,2024-06-17,329.39755
Palau,2024-06-17,-17.522343
Palestine,2024-06-17,113.84387
Panama,2024-06-17,253.24678
Papua New Guinea,2024-06-17,174.58286
Paraguay,2024-06-17,366.02518
Peru,2024-06-17,660.1737
Philippines,2024-06-17,275.72623
Poland,2024-06-17,409.98438
Portugal,2024-06-17,419.1075
Puerto Rico,2024-06-17,682.8833
Qatar,2024-06-17,83.55089
Romania,2024-06-17,500.41403
Russia,2024-06-17,1015.9762
Rwanda,2024-06-17,250.2864
Saint Kitts and Nevis,2024-06-17,462.73105
Saint Lucia,2024-06-17,290.66034
Saint Vincent and the Grenadines,2024-06-17,262.46048
Samoa,2024-06-17,22.454542
San Marino,2024-06-17,455.77664
Sao Tome and Principe,2024-06-17,107.64291
Saudi Arabia,2024-06-17,94.69169
Senegal,2024-06-17,173.61223
Serbia,2024-06-17,856.9464
Seychelles,2024-06-17,-36.233593
Sierra Leone,2024-06-17,163.88846
Singapore,2024-06-17,176.51334
Slovakia,2024-06-17,568.3708
Slovenia,2024-06-17,310.498
Solomon Islands,2024-06-17,151.43584
Somalia,2024-06-17,219.8706
South Africa,2024-06-17,511.42618
South Korea,2024-06-17,190.45166
South Sudan,2024-06-17,185.70506
Spain,2024-06-17,384.46933
Sri Lanka,2024-06-17,298.9693
Sudan,2024-06-17,336.6847
Suriname,2024-06-17,337.73346
Sweden,2024-06-17,249.27559
Switzerland,2024-06-17,299.07022
Syria,2024-06-17,135.5237
Taiwan,2024-06-17,183.67606
Tajikistan,2024-06-17,241.92934
Tanzania,2024-06-17,275.358
Thailand,2024-06-17,314.07788
Togo,2024-06-17,184.92943
Tonga,2024-06-17,-2.997698
Trinidad and Tobago,2024-06-17,360.14594
Tunisia,2024-06-17,226.85114
Turkey,2024-06-17,349.36044
Turkmenistan,2024-06-17,191.48164
Tuvalu,2024-06-17,123.34867
Uganda,2024-06-17,275.5982
Ukraine,2024-06-17,599.86285
United Arab Emirates,2024-06-17,138.11308
United Kingdom,2024-06-17,409.11884
United States,2024-06-17,433.76694
Uruguay,2024-06-17,258.99182
Uzbekistan,2024-06-17,228.78206
Vanuatu,2024-06-17,-65.82143
Venezuela,2024-06-17,253.03825
Vietnam,2024-06-17,428.2209
Western Sahara,2024-06-17,126.12173
Yemen,2024-06-17,181.55637
Zambia,2024-06-17,303.52634
Zimbabwe,2024-06-17,314.63895
